X,Y,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
583835.8479,4629498.573,12113,13303,14546,64.8984985,8.0970402,11.7441998,3.2580199,0.63191,655.5770264,1.53953,0.0928456,4.3846698,82.0045013,4.82341,43.338501,13.6555996,287.9119873,2.3340099,17.9785995,3.07197,14.6282997,11.6654997,0.868549,416.5629883,6.4819298,3.38831,6.5567198,7.32342,389.8540039,14.5585003,0.28812,67.0727997,1.33113,306.5750122,7.1083899,1543.709961,1.57121,36.8582001,0.696202,16.2192993,26.8521996,119.822998,-207.8220062,88.5243988,4
584835.8479,4629498.573,12319,14091,16287,60,5,11.9300003,1.64,0.6,690,1.5,0.08,3.46,30,6.1700001,47.8699989,12.1499996,190,1.9299999,26,3.27,13,9.5,1.02,359,6.04,3.5899999,5.6500001,7.02,364,14.1400003,0.12,67.1800003,1,305,6.0700002,1166,1.28,26.25,0.54,10.8800001,18.2999992,82,-208.1190033,89.1381989,4
585835.8479,4629498.573,12673,15238,17962,60.8314018,8.1265402,12.3151999,2.85095,0.78335,660.2880249,1.73631,0.0996434,3.52543,56.6968994,4.3145399,46.5648003,13.2377996,282.2950134,2.27017,19.5445004,3.28338,18.0883007,11.7216997,0.897677,397.9349976,6.3066401,3.53771,6.9965701,7.8049002,398.8110046,14.1380997,0.256481,67.7530975,1.0893199,283.4920044,7.8805399,1387.689941,1.47112,34.888401,0.649646,14.6891003,25.3871994,105.1419983,-208.2550049,95.6652985,4
586835.8479,4629498.573,12552,15177,17736,60,8,12.6800003,3,1.1,630,2.0999999,0.1,2.95,44,2.8599999,48.3899994,12.0900002,256,2.29,15,3.45,26,11.8000002,0.79,402,6.1399999,3.5799999,7.6799998,8.7200003,391,13.8999996,0.21,69.0999985,1,246,10.2200003,1348,1.28,36.7799988,0.74,16.0200005,27.7000008,111,-208.7299957,100.012001,4
587835.8479,4629498.573,12621,15428,18313,57.1274986,12.7428999,12.9566002,2.99787,0.681128,681.5280151,1.95869,0.11232,3.3336401,61.8296013,4.0560298,42.6203995,13.9111996,285.6809998,2.5039401,14.1830997,3.319,19.4253998,12.3291998,0.91393,425.2929993,5.4755998,3.6012001,7.6777101,8.8375502,436.125,14.9510002,0.295503,67.5698013,1.2401,279.1749878,7.8850899,1554.810059,1.35943,41.1711998,0.747299,15.6407003,28.4855995,110.0999985,-208.8200073,108.2509995,4
588835.8479,4629498.573,12353,14467,17490,50,23,13.3800001,2.0999999,0.2,740,2.2,0.11,3.24,75,3.5799999,32.3100014,12.2700005,270,2.4100001,8,3.27,15,11.1999998,0.82,420,4.0700002,3.71,8.2399998,9.8000002,423,16.8299999,0.22,67.6200027,1.7,302,7.04,1518,1.28,38.6199989,0.9,15.1700001,24.3999996,111,-208.8809967,110.5500031,4
581835.8479,4628498.573,12287,13588,15728,60.7117996,10.2859001,12.1084003,4.0079598,0.589276,649.5750122,1.51784,0.13001,4.3295202,121.8280029,5.9500499,28.8271999,13.2208004,313.928009,2.7072501,10.2847996,2.9642799,19.4946003,11.3141003,0.791428,520.5189819,3.77281,3.3975301,7.4012198,6.7684002,402.8269958,13.6168003,0.335363,68.0995026,1.3928,314.2550049,7.9720001,2246.73999,1.8694,50.6711998,0.997571,19.4269009,35.6805,182.8370056,-208.2920074,80.0951004,4
582835.8479,4628498.573,12575,14976,18091,63.8440018,7.7866101,12.0951004,3.07271,0.60973,662.3649902,1.56636,0.0987906,4.03127,93.1931,4.3392901,36.1207008,13.3157997,319.0960083,2.36675,11.1127996,3.0975001,14.2266998,10.7058001,0.739925,444.9330139,5.4802299,3.4590499,6.62989,6.5285101,402.9570007,13.8638,0.271596,67.9832001,1.44392,298.2799988,7.1956801,1662.719971,1.4229701,40.0780983,0.769381,16.4050999,28.2744007,129.5469971,-208.496994,81.5662994,4
583835.8479,4628498.573,12713,15312,18494,60.3581009,6.6037002,12.1927996,2.5665801,0.628572,663.4639893,1.55001,0.0996403,3.59974,82.7869034,4.28161,39.7286987,12.6581001,365.8670044,2.20754,14.9265003,3.19855,14.1750002,10.3001003,0.753195,415.8980103,5.94524,3.54319,6.53754,6.4438701,392.1820068,13.7713003,0.230726,68.3781967,1.26078,292.2149963,6.80127,1445.839966,1.40784,34.4855003,0.662529,14.5544004,24.4188004,111.3259964,-209.0610046,74.9459991,4
580835.8479,4627498.573,12499,14486,16131,40,10.6999998,13,3.0999999,0.3,620,1,0.15,3.6600001,210,7.5999999,16,11,266,3.1600001,10,3.01,19.3999996,9,0.74,497,1,3.7,6,6,481,12.8000002,0.36,69.0400009,1.2,255,7.5999999,2100,2.0999999,55,1,10.5,40,230,-209.8370056,37.9427986,4
334835.8479,4626498.573,13188,14834,17556,67.1414032,9.4241104,62.1590004,0.904599,0.334305,101.3209991,2.3280699,10.6901999,2.45397,44.9247017,5.57798,15.8838997,11.9470997,263.0360107,2.6661999,2.7304101,1.72329,15.8624001,7.0858402,1.23405,379.2720032,0.579835,4.4015999,5.4924798,7.51472,403.2330017,8.0941401,0.25716,22.5674,0.906261,224.3760071,6.3443398,2031.01001,1.22279,57.8316002,0.622898,20.7887993,19.3992996,117.2369995,-146.0899963,50.4313011,4
335835.8479,4626498.573,13182,14880,17630,69.0358963,5.3074999,67.2832031,0.610349,0.344987,50.0357018,2.5310099,11.7799997,2.4342799,45.4650002,5.7569599,16.2889004,12.3282003,264.2820129,2.6731501,2.74998,1.6492701,16.0214005,7.32126,1.24283,392.4190063,0.615322,4.4199901,5.3000002,7.5248699,410.493988,8.3715601,0.258572,16.9067001,0.891494,219.4640045,6.3464699,2025.310059,1.21071,57.7663002,0.636412,21.3533001,18.0461998,117.4639969,-146.2839966,56.1464005,4
619835.8479,4626498.573,11089,11540,14413,56.4261017,15.1899996,13.0504999,4.2209702,0.385661,610.1920166,2.2284901,0.180698,5.0483699,78.4271011,4.22048,56.4903984,12.0001001,446.1740112,2.64697,8.4288702,4.1251898,14.4201002,13.4777002,1.53949,423.8500061,5.6405802,3.09548,9.6855602,10.3029003,401.8829956,18.9090996,0.24962,63.2575989,1.66426,234.9589996,7.6620498,1860.130005,1.22349,36.7172012,0.598521,15.1146002,28.8906994,108.4240036,-218.3059998,-15.2080002,4
