,X,Y,type,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic
107,288000,4645000,0,14883,17231,18628,45.3008003,8.0792904,12.6896,1.66392,0.357278,530.9689941,1.75403,0.21,2.0915999,29.9097996,4.2710099,19.2705002,10.3481998,282.7319946,1.40192,2.11659,3.5850101,14.9937,15.7907,0.835095,300.9320068,0.466678,3.60482,6.5751801,7.7537198,189.4830017,11.8407001,0.276674,74.3331985,1.70941,172.9880066,7.2670598,1216.339966,1.49685,34.1198006,1.28859,21.6786995,32.9322014,76.4997025,-134.3930054,24.3180008
108,289000,4645000,0,14397,16125,18986,42,5.3410001,12.6700001,1.6,0.32,522,1.6,0.22,2.04,24,4.5999999,22.1000004,15.6999998,264,1.02,2,3.76,15.1000004,14.5,0.96,322,0.52,3.47,6.5999999,7.9000001,181,11.1000004,0.3,73.6500015,1.796,160,7.6999998,1300,1.3,37.5999985,2.8,21.8999996,32.2999992,72,-134.7160034,33.2061996
109,290000,4645000,0,13833,15545,18845,42.979599,8.8236504,12.3795996,1.90395,0.316371,512.9689941,1.59366,0.198187,2.01773,31.0597992,4.47258,20.1602001,12.0705996,263.6549988,1.2456501,2.22578,3.4556301,15.3318005,14.0314999,0.931738,303.2430115,0.5316,3.4981799,6.7233601,7.73736,196.3769989,12.0166998,0.298976,74.8934021,1.69635,165.772995,7.2536001,1290.319946,1.58524,36.301899,1.2865,20.9503994,32.6286011,79.6819992,-134.4869995,31.7423
110,287000,4644000,0,14703,16753,18369,50.8499985,10.1903,13.3121004,1.95487,0.341486,502.6679993,1.83307,0.235961,2.7339599,37.3203011,5.8225498,26.3223,10.4820004,312.1600037,2.1512401,2.6582,2.9575701,16.302,15.9013004,1.1364501,383.1849976,0.647592,3.7254901,6.8526502,10.2542,238.0910034,11.8592997,0.312732,72.6903,2.3289101,213.3309937,6.8832402,1578.880005,1.63474,48.6123009,0.821576,21.4076004,36.5802002,78.3015976,-133.8350067,27.0962009
111,288000,4644000,0,14196,15542,17990,48.0738983,10.6463003,13.1640997,2.04005,0.342139,512.4530029,1.74291,0.231895,2.6062801,33.8606987,5.7254601,25.0776997,13.1778002,290.7269897,1.88671,2.3573,3.1090701,16.0109997,15.3359003,1.1597199,381.4509888,0.655778,3.5954199,6.8000798,9.8508797,239.9759979,12.2606001,0.323934,72.7988968,2.0706699,204.548996,6.8498502,1571.170044,1.5929199,48.168499,1.07866,20.8999996,37.7649994,77.2143021,-133.852005,42.8793983
112,612000,4630000,0,11426,10522,10110,58.9287987,7.1606302,14.0074997,3.94996,0.550089,762.6209717,1.83935,0.117859,3.96051,99.1464005,6.8295202,40.3347015,14.0169001,397.7409973,3.25718,9.6432199,3.39573,19.5196991,14.4177999,1.3557,593.4819946,5.44385,3.78828,7.95994,7.6995001,550.0759888,15.3237,0.486426,63.6974983,1.86431,255.6029968,8.5767403,2419.070068,0.999263,50.5559006,1.08755,22.3516006,43.3154984,146.4309998,-214.7769928,70.7472
113,608000,4629000,0,10865,9847,10711,54.0635986,5.4124098,14.2902002,2.6415801,0.249801,658.1760254,2.02439,0.109234,3.64237,96.7129974,5.4820299,40.9743004,13.4414997,351.881012,3.3008299,10.0482998,3.0331099,20.1324005,10.4195004,1.24264,625.2719727,5.2239399,4.1084199,8.5105495,6.3252201,591.8369751,16.0347996,0.329188,63.9107018,1.92177,274.7640076,9.0191002,2447.449951,0.925643,45.3945007,0.929169,24.6819992,42.6018982,171.6419983,-216.4100037,125.538002
114,610000,4629000,0,11809,12330,14059,55.3722992,6.3970399,14.2596998,3.05654,0.583814,696.0609741,1.93274,0.108689,3.39663,84.8113022,5.6881399,37.8049011,13.0809002,366.9079895,3.1066999,8.8063402,3.3961599,20.1011009,12.2678003,1.24973,598.3519897,5.2045498,4.0269198,8.0467901,6.8221302,549.2280273,16.8337994,0.368172,63.9286995,1.87073,257.2399902,9.4016199,2349.830078,1.0025899,45.2915001,1.2065099,22.6954002,41.2085991,155.9259949,-216.6100006,130.0549927
115,611000,4629000,0,11718,11923,14986,50,7.8000002,14.2600002,2.9000001,1.3,653,1.8,0.09,2.23,69,5.02,39.5099983,13.6000004,408,2.79,9,3.6199999,24,11.1999998,1.0599999,570,6.1599998,4.0500002,7.4400001,7.77,504,19.1599998,0.32,65.2099991,2,250,10.8100004,2029,0.84,41.6800003,1.8,22.0300007,37.4000015,147,-216.1199951,120.8880005
116,612000,4629000,0,11504,11588,15320,55.700901,7.0349598,14.3411999,3.2981901,0.643303,825.5859985,1.88082,0.11507,3.7548201,89.3051987,5.8758702,37.4005013,12.6079998,373.4880066,2.98841,9.1550703,3.7990999,19.0056,12.9174995,1.31612,550.2139893,5.0757699,3.8992701,7.5133801,7.3702002,543.257019,16.1637993,0.383401,63.2304001,1.7782201,249.8670044,8.8051395,2234.080078,1.0364,46.1791,1.0963,20.3162003,38.3171005,134.927002,-216.3939972,132.0740051
